Episode 720/2500 | Avg Reward: -161.20 | Epsilon: 0.0271 | Buffer: 100000
Episode 730/2500 | Avg Reward: -170.50 | Epsilon: 0.0258 | Buffer: 100000
Episode 740/2500 | Avg Reward: -153.90 | Epsilon: 0.0245 | Buffer: 100000
Episode 750/2500 | Avg Reward: -145.80 | Epsilon: 0.0233 | Buffer: 100000
Episode 760/2500 | Avg Reward: -138.30 | Epsilon: 0.0222 | Buffer: 100000
Episode 770/2500 | Avg Reward: -156.90 | Epsilon: 0.0211 | Buffer: 100000
Episode 780/2500 | Avg Reward: -158.80 | Epsilon: 0.0200 | Buffer: 100000
Episode 790/2500 | Avg Reward: -126.90 | Epsilon: 0.0191 | Buffer: 100000
Episode 800/2500 | Avg Reward: -137.60 | Epsilon: 0.0181 | Buffer: 100000
Episode 810/2500 | Avg Reward: -146.10 | Epsilon: 0.0172 | Buffer: 100000
Episode 820/2500 | Avg Reward: -134.10 | Epsilon: 0.0164 | Buffer: 100000
Episode 830/2500 | Avg Reward: -137.80 | Epsilon: 0.0156 | Buffer: 100000
Episode 840/2500 | Avg Reward: -150.60 | Epsilon: 0.0148 | Buffer: 100000
Episode 850/2500 | Avg Reward: -145.90 | Epsilon: 0.0141 | Buffer: 100000
Episode 860/2500 | Avg Reward: -123.10 | Epsilon: 0.0134 | Buffer: 100000
Episode 870/2500 | Avg Reward: -150.00 | Epsilon: 0.0128 | Buffer: 100000
Episode 880/2500 | Avg Reward: -146.60 | Epsilon: 0.0121 | Buffer: 100000
Episode 890/2500 | Avg Reward: -118.20 | Epsilon: 0.0115 | Buffer: 100000
Episode 900/2500 | Avg Reward: -145.60 | Epsilon: 0.0110 | Buffer: 100000
Episode 910/2500 | Avg Reward: -120.00 | Epsilon: 0.0104 | Buffer: 100000
Episode 920/2500 | Avg Reward: -127.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 930/2500 | Avg Reward: -132.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 940/2500 | Avg Reward: -142.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 950/2500 | Avg Reward: -139.80 | Epsilon: 0.0100 | Buffer: 100000
Episode 960/2500 | Avg Reward: -125.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 970/2500 | Avg Reward: -127.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 980/2500 | Avg Reward: -121.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 990/2500 | Avg Reward: -118.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1000/2500 | Avg Reward: -114.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1010/2500 | Avg Reward: -126.80 | Epsilon: 0.0100 | Buffer: 100000
Episode 1020/2500 | Avg Reward: -103.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 1030/2500 | Avg Reward: -103.80 | Epsilon: 0.0100 | Buffer: 100000
Episode 1040/2500 | Avg Reward: -106.30 | Epsilon: 0.0100 | Buffer: 100000
Episode 1050/2500 | Avg Reward: -119.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 1060/2500 | Avg Reward: -115.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 1070/2500 | Avg Reward: -113.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1080/2500 | Avg Reward: -114.80 | Epsilon: 0.0100 | Buffer: 100000
Episode 1090/2500 | Avg Reward: -119.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 1100/2500 | Avg Reward: -114.00 | Epsilon: 0.0100 | Buffer: 100000
Episode 1110/2500 | Avg Reward: -111.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 1120/2500 | Avg Reward: -114.30 | Epsilon: 0.0100 | Buffer: 100000
Episode 1130/2500 | Avg Reward: -108.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 1140/2500 | Avg Reward: -108.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1150/2500 | Avg Reward: -105.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 1160/2500 | Avg Reward: -107.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 1170/2500 | Avg Reward: -99.00 | Epsilon: 0.0100 | Buffer: 100000
Episode 1180/2500 | Avg Reward: -106.30 | Epsilon: 0.0100 | Buffer: 100000
Episode 1190/2500 | Avg Reward: -107.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1200/2500 | Avg Reward: -107.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 1210/2500 | Avg Reward: -99.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 1220/2500 | Avg Reward: -100.80 | Epsilon: 0.0100 | Buffer: 100000
Episode 1230/2500 | Avg Reward: -101.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1240/2500 | Avg Reward: -101.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 1250/2500 | Avg Reward: -101.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 1260/2500 | Avg Reward: -101.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 1270/2500 | Avg Reward: -102.30 | Epsilon: 0.0100 | Buffer: 100000
Episode 1280/2500 | Avg Reward: -100.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 1290/2500 | Avg Reward: -99.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 1300/2500 | Avg Reward: -102.00 | Epsilon: 0.0100 | Buffer: 100000
Episode 1310/2500 | Avg Reward: -106.00 | Epsilon: 0.0100 | Buffer: 100000
Episode 1320/2500 | Avg Reward: -101.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 1330/2500 | Avg Reward: -99.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 1340/2500 | Avg Reward: -102.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 1350/2500 | Avg Reward: -102.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 1360/2500 | Avg Reward: -106.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 1370/2500 | Avg Reward: -105.30 | Epsilon: 0.0100 | Buffer: 100000
Episode 1380/2500 | Avg Reward: -99.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 1390/2500 | Avg Reward: -99.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 1400/2500 | Avg Reward: -108.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1410/2500 | Avg Reward: -102.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1420/2500 | Avg Reward: -94.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 1430/2500 | Avg Reward: -102.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 1440/2500 | Avg Reward: -99.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 1450/2500 | Avg Reward: -101.00 | Epsilon: 0.0100 | Buffer: 100000
Episode 1460/2500 | Avg Reward: -103.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 1470/2500 | Avg Reward: -99.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 1480/2500 | Avg Reward: -102.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 1490/2500 | Avg Reward: -108.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 1500/2500 | Avg Reward: -113.60 | Epsilon: 0.0100 | Buffer: 100000
