Episode 7300/20000 | Avg Reward: -173.62 | Epsilon: 0.0260 | States visited: 296
Episode 7400/20000 | Avg Reward: -161.16 | Epsilon: 0.0247 | States visited: 296
Episode 7500/20000 | Avg Reward: -151.49 | Epsilon: 0.0235 | States visited: 296
Episode 7600/20000 | Avg Reward: -163.50 | Epsilon: 0.0223 | States visited: 296
Episode 7700/20000 | Avg Reward: -177.87 | Epsilon: 0.0213 | States visited: 296
Episode 7800/20000 | Avg Reward: -160.13 | Epsilon: 0.0202 | States visited: 296
Episode 7900/20000 | Avg Reward: -184.11 | Epsilon: 0.0192 | States visited: 296
Episode 8000/20000 | Avg Reward: -183.40 | Epsilon: 0.0183 | States visited: 296
Episode 8100/20000 | Avg Reward: -182.14 | Epsilon: 0.0174 | States visited: 296
Episode 8200/20000 | Avg Reward: -175.11 | Epsilon: 0.0166 | States visited: 296
Episode 8300/20000 | Avg Reward: -170.67 | Epsilon: 0.0157 | States visited: 296
Episode 8400/20000 | Avg Reward: -178.49 | Epsilon: 0.0150 | States visited: 296
Episode 8500/20000 | Avg Reward: -179.22 | Epsilon: 0.0142 | States visited: 296
Episode 8600/20000 | Avg Reward: -175.77 | Epsilon: 0.0136 | States visited: 296
Episode 8700/20000 | Avg Reward: -150.59 | Epsilon: 0.0129 | States visited: 296
Episode 8800/20000 | Avg Reward: -139.92 | Epsilon: 0.0123 | States visited: 296
Episode 8900/20000 | Avg Reward: -153.70 | Epsilon: 0.0117 | States visited: 296
Episode 9000/20000 | Avg Reward: -166.43 | Epsilon: 0.0111 | States visited: 296
Episode 9100/20000 | Avg Reward: -173.73 | Epsilon: 0.0106 | States visited: 296
Episode 9200/20000 | Avg Reward: -162.35 | Epsilon: 0.0100 | States visited: 296
Episode 9300/20000 | Avg Reward: -158.46 | Epsilon: 0.0100 | States visited: 296
Episode 9400/20000 | Avg Reward: -163.20 | Epsilon: 0.0100 | States visited: 296
Episode 9500/20000 | Avg Reward: -188.11 | Epsilon: 0.0100 | States visited: 296
Episode 9600/20000 | Avg Reward: -167.94 | Epsilon: 0.0100 | States visited: 296
Episode 9700/20000 | Avg Reward: -163.52 | Epsilon: 0.0100 | States visited: 296
Episode 9800/20000 | Avg Reward: -168.81 | Epsilon: 0.0100 | States visited: 296
Episode 9900/20000 | Avg Reward: -171.35 | Epsilon: 0.0100 | States visited: 296
Episode 10000/20000 | Avg Reward: -175.80 | Epsilon: 0.0100 | States visited: 296
Episode 10100/20000 | Avg Reward: -181.24 | Epsilon: 0.0100 | States visited: 296
Episode 10200/20000 | Avg Reward: -161.69 | Epsilon: 0.0100 | States visited: 296
Episode 10300/20000 | Avg Reward: -192.70 | Epsilon: 0.0100 | States visited: 296
Episode 10400/20000 | Avg Reward: -159.71 | Epsilon: 0.0100 | States visited: 296
Episode 10500/20000 | Avg Reward: -137.39 | Epsilon: 0.0100 | States visited: 296
Episode 10600/20000 | Avg Reward: -135.20 | Epsilon: 0.0100 | States visited: 296
Episode 10700/20000 | Avg Reward: -136.64 | Epsilon: 0.0100 | States visited: 296
Episode 10800/20000 | Avg Reward: -154.10 | Epsilon: 0.0100 | States visited: 296
Episode 10900/20000 | Avg Reward: -163.92 | Epsilon: 0.0100 | States visited: 297
Episode 11000/20000 | Avg Reward: -162.59 | Epsilon: 0.0100 | States visited: 297
Episode 11100/20000 | Avg Reward: -157.80 | Epsilon: 0.0100 | States visited: 297
Episode 11200/20000 | Avg Reward: -159.91 | Epsilon: 0.0100 | States visited: 297
Episode 11300/20000 | Avg Reward: -161.62 | Epsilon: 0.0100 | States visited: 298
Episode 11400/20000 | Avg Reward: -158.22 | Epsilon: 0.0100 | States visited: 298
Episode 11500/20000 | Avg Reward: -152.47 | Epsilon: 0.0100 | States visited: 298
Episode 11600/20000 | Avg Reward: -152.57 | Epsilon: 0.0100 | States visited: 298
Episode 11700/20000 | Avg Reward: -154.20 | Epsilon: 0.0100 | States visited: 298
Episode 11800/20000 | Avg Reward: -151.88 | Epsilon: 0.0100 | States visited: 298
Episode 11900/20000 | Avg Reward: -149.39 | Epsilon: 0.0100 | States visited: 298
Episode 12000/20000 | Avg Reward: -160.03 | Epsilon: 0.0100 | States visited: 298
Episode 12100/20000 | Avg Reward: -159.49 | Epsilon: 0.0100 | States visited: 298
Episode 12200/20000 | Avg Reward: -165.94 | Epsilon: 0.0100 | States visited: 298
Episode 12300/20000 | Avg Reward: -163.10 | Epsilon: 0.0100 | States visited: 298
Episode 12400/20000 | Avg Reward: -154.63 | Epsilon: 0.0100 | States visited: 298
Episode 12500/20000 | Avg Reward: -156.47 | Epsilon: 0.0100 | States visited: 298
Episode 12600/20000 | Avg Reward: -159.01 | Epsilon: 0.0100 | States visited: 299
Episode 12700/20000 | Avg Reward: -159.29 | Epsilon: 0.0100 | States visited: 299
Episode 12800/20000 | Avg Reward: -158.31 | Epsilon: 0.0100 | States visited: 299
Episode 12900/20000 | Avg Reward: -161.30 | Epsilon: 0.0100 | States visited: 299
Episode 13000/20000 | Avg Reward: -163.45 | Epsilon: 0.0100 | States visited: 299
Episode 13100/20000 | Avg Reward: -169.05 | Epsilon: 0.0100 | States visited: 299
Episode 13200/20000 | Avg Reward: -164.36 | Epsilon: 0.0100 | States visited: 299
Episode 13300/20000 | Avg Reward: -161.88 | Epsilon: 0.0100 | States visited: 299
Episode 13400/20000 | Avg Reward: -168.86 | Epsilon: 0.0100 | States visited: 299
Episode 13500/20000 | Avg Reward: -166.10 | Epsilon: 0.0100 | States visited: 299
